AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I
AAT,"American Assets Trust, Inc. Common Stock"
AAV,Advantage Oil & Gas Ltd  Ordinary Shares
ABBV,AbbVie Inc. Common Stock
ABC,AmerisourceBergen Corporation (Holding Co) Common Stock
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share)
ABT,Abbott Laboratories Common Stock
ABX,Barrick Gold Corporation Common Stock
ACC,American Campus Communities Inc Common Stock
ACCO,Acco Brands Corporation Common Stock
ACE,Ace Limited Common Stock
ACH,Aluminum Corporation of China Limited American Depositary Shares
ACI,"Arch Coal, Inc. Common Stock"
ACMP,"Access Midstream Partners, L.P. Common Units Representing Limited Partner Interests"
ACN,Accenture plc. Class A Ordinary Shares (Ireland)
ADC,Agree Realty Corporation Common Stock
ADM,Archer
ADPT,Adeptus Health Inc. Common Stock
ADS,Alliance Data Systems Corporation Common Stock
ADT,ADT Corporation Common Stock
ADX,Adams Express Company (The)
AEB,AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands)
AEC,Associated Estates Realty Corporation Common Stock
AED,AEGON N.V. Perp. Cap. Securities (Netherlands)
AEE,Ameren Corporation Common Stock
AEG,AEGON N.V. Common Stock
AEL,American Equity Investment Life Holding Company Common Stock
AEM,Agnico Eagle Mines Limited Common Stock
AEO,"American Eagle Outfitters, Inc. Common Stock"
AEP,"American Electric Power Company, Inc. Common Stock"
AER,Aercap Holdings N.V. Ordinary Shares
AES,The AES Corporation Common Stock
AET,Aetna Inc. Common Stock
AF,Astoria Financial Corporation Common Stock
AFA,"American Financial Group, Inc. 5.75% Senior Notes due 2042"
AFB,AllianceBernstein National Municipal Income Fund Inc
AFC,"Allied Capital Corporation Allied Capital Corporation 6.875% Notes due April 15, 2047"
AFG,"American Financial Group, Inc. Common Stock"
AFGE,"American Financial Group, Inc. 6.25% Subordinated Debentures due 2054"
AFL,AFLAC Incorporated Common Stock
AFM,"Affiliated Managers Group, Inc. 5.250% Senior Notes due 2022"
AFQ,"American Financial Group, Inc. 7% Senior Notes due 2050"
AFSI$A,"AmTrust Financial Services, Inc. Preferred Series A"
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock
AFW,"American Financial Group, Inc. 6 3/8% Senior Notes due 2042"
AG,First Majestic Silver Corp. Ordinary Shares (Canada)
AGC,Advent Claymore Convertible Securities and Income Fund Common Shares of Beneficial Interest
AGCO,AGCO Corporation Common Stock
AGD,Alpine Global Dynamic Dividend Fund Shares of Beneficial Interest
AGI,Alamos Gold Inc Ordinary Shares
AGM,Federal Agricultural Mortgage Corporation Common Stock
AGM.A,Federal Agricultural Mortgage Corporation Common Stock
AGN,"Allergan, Inc. Common Stock"
AGO,Assured Guaranty Ltd. Common Stock
AGRO,Adecoagro S.A. Common Shares
AGU,Agrium Inc. Common Stock
AGX,"Argan, Inc. Common Stock"
AHC,A.H. Belo Corporation Common Stock
AHH,"Armada Hoffler Properties, Inc. Common Stock"
AHL,Aspen Insurance Holdings Limited Ordinary Shares
AHP,"Ashford Hospitality Prime, Inc. Common Stock"
AHS,AMN Healthcare Services Inc AMN Healthcare Services Inc
AHT,Ashford Hospitality Trust Inc Common Stock
AI,Arlington Asset Investment Corp Class A (new)
AIB,Apollo Investment Corporation 6.625% Senior Notes due 2042
AIF,Apollo Tactical Income Fund Inc. Common Stock
AIG,"American International Group, Inc. New Common Stock"
AIN,Albany International Corporation Common Stock
